1,"tensor(0.8241, device='cuda:0')","tensor(0.6847, device='cuda:0')"
2,"tensor(0.6677, device='cuda:0')","tensor(0.5076, device='cuda:0')"
3,"tensor(0.2964, device='cuda:0')","tensor(0.1825, device='cuda:0')"
4,"tensor(0.1017, device='cuda:0')","tensor(0.0840, device='cuda:0')"
5,"tensor(0.0406, device='cuda:0')","tensor(0.0442, device='cuda:0')"
6,"tensor(0.0326, device='cuda:0')","tensor(0.0410, device='cuda:0')"
7,"tensor(0.0242, device='cuda:0')","tensor(0.0420, device='cuda:0')"
8,"tensor(0.0255, device='cuda:0')","tensor(0.0424, device='cuda:0')"
9,"tensor(0.0243, device='cuda:0')","tensor(0.0403, device='cuda:0')"
10,"tensor(0.0239, device='cuda:0')","tensor(0.0352, device='cuda:0')"
11,"tensor(0.0222, device='cuda:0')","tensor(0.0403, device='cuda:0')"
12,"tensor(0.0247, device='cuda:0')","tensor(0.0321, device='cuda:0')"
13,"tensor(0.0242, device='cuda:0')","tensor(0.0408, device='cuda:0')"
14,"tensor(0.0228, device='cuda:0')","tensor(0.0336, device='cuda:0')"
15,"tensor(0.0227, device='cuda:0')","tensor(0.0320, device='cuda:0')"
16,"tensor(0.0228, device='cuda:0')","tensor(0.0290, device='cuda:0')"
17,"tensor(0.0236, device='cuda:0')","tensor(0.0380, device='cuda:0')"
18,"tensor(0.0197, device='cuda:0')","tensor(0.0313, device='cuda:0')"
19,"tensor(0.0226, device='cuda:0')","tensor(0.0349, device='cuda:0')"
20,"tensor(0.0242, device='cuda:0')","tensor(0.0324, device='cuda:0')"
21,"tensor(0.0171, device='cuda:0')","tensor(0.0312, device='cuda:0')"
22,"tensor(0.0200, device='cuda:0')","tensor(0.0308, device='cuda:0')"
23,"tensor(0.0215, device='cuda:0')","tensor(0.0281, device='cuda:0')"
24,"tensor(0.0219, device='cuda:0')","tensor(0.0295, device='cuda:0')"
25,"tensor(0.0209, device='cuda:0')","tensor(0.0324, device='cuda:0')"
26,"tensor(0.0191, device='cuda:0')","tensor(0.0298, device='cuda:0')"
27,"tensor(0.0164, device='cuda:0')","tensor(0.0231, device='cuda:0')"
28,"tensor(0.0166, device='cuda:0')","tensor(0.0273, device='cuda:0')"
29,"tensor(0.0172, device='cuda:0')","tensor(0.0288, device='cuda:0')"
30,"tensor(0.0176, device='cuda:0')","tensor(0.0240, device='cuda:0')"
31,"tensor(0.0176, device='cuda:0')","tensor(0.0271, device='cuda:0')"
32,"tensor(0.0170, device='cuda:0')","tensor(0.0305, device='cuda:0')"
33,"tensor(0.0168, device='cuda:0')","tensor(0.0277, device='cuda:0')"
34,"tensor(0.0158, device='cuda:0')","tensor(0.0279, device='cuda:0')"
35,"tensor(0.0175, device='cuda:0')","tensor(0.0270, device='cuda:0')"
36,"tensor(0.0147, device='cuda:0')","tensor(0.0325, device='cuda:0')"
37,"tensor(0.0180, device='cuda:0')","tensor(0.0267, device='cuda:0')"
38,"tensor(0.0168, device='cuda:0')","tensor(0.0272, device='cuda:0')"
39,"tensor(0.0155, device='cuda:0')","tensor(0.0272, device='cuda:0')"
40,"tensor(0.0183, device='cuda:0')","tensor(0.0259, device='cuda:0')"
41,"tensor(0.0174, device='cuda:0')","tensor(0.0232, device='cuda:0')"
42,"tensor(0.0151, device='cuda:0')","tensor(0.0253, device='cuda:0')"
43,"tensor(0.0162, device='cuda:0')","tensor(0.0311, device='cuda:0')"
44,"tensor(0.0167, device='cuda:0')","tensor(0.0223, device='cuda:0')"
45,"tensor(0.0168, device='cuda:0')","tensor(0.0248, device='cuda:0')"
46,"tensor(0.0158, device='cuda:0')","tensor(0.0237, device='cuda:0')"
47,"tensor(0.0184, device='cuda:0')","tensor(0.0239, device='cuda:0')"
48,"tensor(0.0144, device='cuda:0')","tensor(0.0246, device='cuda:0')"
49,"tensor(0.0172, device='cuda:0')","tensor(0.0205, device='cuda:0')"
50,"tensor(0.0150, device='cuda:0')","tensor(0.0301, device='cuda:0')"
51,"tensor(0.0166, device='cuda:0')","tensor(0.0282, device='cuda:0')"
52,"tensor(0.0180, device='cuda:0')","tensor(0.0283, device='cuda:0')"
53,"tensor(0.0171, device='cuda:0')","tensor(0.0275, device='cuda:0')"
54,"tensor(0.0173, device='cuda:0')","tensor(0.0241, device='cuda:0')"
55,"tensor(0.0174, device='cuda:0')","tensor(0.0264, device='cuda:0')"
56,"tensor(0.0134, device='cuda:0')","tensor(0.0251, device='cuda:0')"
57,"tensor(0.0161, device='cuda:0')","tensor(0.0286, device='cuda:0')"
58,"tensor(0.0160, device='cuda:0')","tensor(0.0296, device='cuda:0')"
59,"tensor(0.0163, device='cuda:0')","tensor(0.0256, device='cuda:0')"
60,"tensor(0.0159, device='cuda:0')","tensor(0.0267, device='cuda:0')"
61,"tensor(0.0171, device='cuda:0')","tensor(0.0211, device='cuda:0')"
62,"tensor(0.0162, device='cuda:0')","tensor(0.0266, device='cuda:0')"
63,"tensor(0.0154, device='cuda:0')","tensor(0.0258, device='cuda:0')"
64,"tensor(0.0160, device='cuda:0')","tensor(0.0255, device='cuda:0')"
65,"tensor(0.0160, device='cuda:0')","tensor(0.0236, device='cuda:0')"
66,"tensor(0.0160, device='cuda:0')","tensor(0.0248, device='cuda:0')"
67,"tensor(0.0161, device='cuda:0')","tensor(0.0262, device='cuda:0')"
68,"tensor(0.0155, device='cuda:0')","tensor(0.0280, device='cuda:0')"
69,"tensor(0.0163, device='cuda:0')","tensor(0.0234, device='cuda:0')"
70,"tensor(0.0158, device='cuda:0')","tensor(0.0204, device='cuda:0')"
71,"tensor(0.0130, device='cuda:0')","tensor(0.0242, device='cuda:0')"
72,"tensor(0.0152, device='cuda:0')","tensor(0.0259, device='cuda:0')"
73,"tensor(0.0147, device='cuda:0')","tensor(0.0252, device='cuda:0')"
74,"tensor(0.0161, device='cuda:0')","tensor(0.0246, device='cuda:0')"
75,"tensor(0.0163, device='cuda:0')","tensor(0.0241, device='cuda:0')"
76,"tensor(0.0151, device='cuda:0')","tensor(0.0253, device='cuda:0')"
77,"tensor(0.0127, device='cuda:0')","tensor(0.0264, device='cuda:0')"
78,"tensor(0.0162, device='cuda:0')","tensor(0.0265, device='cuda:0')"
79,"tensor(0.0158, device='cuda:0')","tensor(0.0275, device='cuda:0')"
80,"tensor(0.0132, device='cuda:0')","tensor(0.0263, device='cuda:0')"
81,"tensor(0.0171, device='cuda:0')","tensor(0.0238, device='cuda:0')"
82,"tensor(0.0170, device='cuda:0')","tensor(0.0245, device='cuda:0')"
83,"tensor(0.0146, device='cuda:0')","tensor(0.0215, device='cuda:0')"
84,"tensor(0.0167, device='cuda:0')","tensor(0.0268, device='cuda:0')"
85,"tensor(0.0161, device='cuda:0')","tensor(0.0233, device='cuda:0')"
86,"tensor(0.0155, device='cuda:0')","tensor(0.0242, device='cuda:0')"
87,"tensor(0.0155, device='cuda:0')","tensor(0.0276, device='cuda:0')"
88,"tensor(0.0149, device='cuda:0')","tensor(0.0232, device='cuda:0')"
89,"tensor(0.0132, device='cuda:0')","tensor(0.0212, device='cuda:0')"
90,"tensor(0.0154, device='cuda:0')","tensor(0.0239, device='cuda:0')"
91,"tensor(0.0144, device='cuda:0')","tensor(0.0230, device='cuda:0')"
92,"tensor(0.0135, device='cuda:0')","tensor(0.0210, device='cuda:0')"
93,"tensor(0.0155, device='cuda:0')","tensor(0.0268, device='cuda:0')"
94,"tensor(0.0142, device='cuda:0')","tensor(0.0261, device='cuda:0')"
95,"tensor(0.0148, device='cuda:0')","tensor(0.0203, device='cuda:0')"
96,"tensor(0.0144, device='cuda:0')","tensor(0.0249, device='cuda:0')"
97,"tensor(0.0169, device='cuda:0')","tensor(0.0239, device='cuda:0')"
98,"tensor(0.0138, device='cuda:0')","tensor(0.0221, device='cuda:0')"
99,"tensor(0.0110, device='cuda:0')","tensor(0.0240, device='cuda:0')"
100,"tensor(0.0145, device='cuda:0')","tensor(0.0266, device='cuda:0')"
101,"tensor(0.0142, device='cuda:0')","tensor(0.0252, device='cuda:0')"
1,"tensor(0.9300, device='cuda:0')","tensor(0.6113, device='cuda:0')"
2,"tensor(0.5799, device='cuda:0')","tensor(0.3598, device='cuda:0')"
3,"tensor(0.3099, device='cuda:0')","tensor(0.1341, device='cuda:0')"
4,"tensor(0.0863, device='cuda:0')","tensor(0.0652, device='cuda:0')"
5,"tensor(0.0331, device='cuda:0')","tensor(0.0443, device='cuda:0')"
6,"tensor(0.0273, device='cuda:0')","tensor(0.0420, device='cuda:0')"
7,"tensor(0.0227, device='cuda:0')","tensor(0.0339, device='cuda:0')"
8,"tensor(0.0254, device='cuda:0')","tensor(0.0312, device='cuda:0')"
9,"tensor(0.0197, device='cuda:0')","tensor(0.0334, device='cuda:0')"
10,"tensor(0.0248, device='cuda:0')","tensor(0.0320, device='cuda:0')"
11,"tensor(0.0254, device='cuda:0')","tensor(0.0332, device='cuda:0')"
12,"tensor(0.0237, device='cuda:0')","tensor(0.0323, device='cuda:0')"
13,"tensor(0.0226, device='cuda:0')","tensor(0.0338, device='cuda:0')"
14,"tensor(0.0265, device='cuda:0')","tensor(0.0312, device='cuda:0')"
15,"tensor(0.0238, device='cuda:0')","tensor(0.0283, device='cuda:0')"
16,"tensor(0.0248, device='cuda:0')","tensor(0.0303, device='cuda:0')"
17,"tensor(0.0206, device='cuda:0')","tensor(0.0359, device='cuda:0')"
18,"tensor(0.0212, device='cuda:0')","tensor(0.0198, device='cuda:0')"
19,"tensor(0.0185, device='cuda:0')","tensor(0.0290, device='cuda:0')"
20,"tensor(0.0179, device='cuda:0')","tensor(0.0327, device='cuda:0')"
21,"tensor(0.0184, device='cuda:0')","tensor(0.0316, device='cuda:0')"
22,"tensor(0.0206, device='cuda:0')","tensor(0.0300, device='cuda:0')"
23,"tensor(0.0201, device='cuda:0')","tensor(0.0274, device='cuda:0')"
24,"tensor(0.0186, device='cuda:0')","tensor(0.0286, device='cuda:0')"
25,"tensor(0.0187, device='cuda:0')","tensor(0.0299, device='cuda:0')"
26,"tensor(0.0200, device='cuda:0')","tensor(0.0268, device='cuda:0')"
27,"tensor(0.0165, device='cuda:0')","tensor(0.0248, device='cuda:0')"
28,"tensor(0.0155, device='cuda:0')","tensor(0.0279, device='cuda:0')"
29,"tensor(0.0162, device='cuda:0')","tensor(0.0257, device='cuda:0')"
30,"tensor(0.0181, device='cuda:0')","tensor(0.0266, device='cuda:0')"
31,"tensor(0.0168, device='cuda:0')","tensor(0.0259, device='cuda:0')"
32,"tensor(0.0172, device='cuda:0')","tensor(0.0291, device='cuda:0')"
33,"tensor(0.0170, device='cuda:0')","tensor(0.0265, device='cuda:0')"
34,"tensor(0.0133, device='cuda:0')","tensor(0.0254, device='cuda:0')"
35,"tensor(0.0190, device='cuda:0')","tensor(0.0223, device='cuda:0')"
36,"tensor(0.0163, device='cuda:0')","tensor(0.0267, device='cuda:0')"
37,"tensor(0.0181, device='cuda:0')","tensor(0.0276, device='cuda:0')"
38,"tensor(0.0180, device='cuda:0')","tensor(0.0258, device='cuda:0')"
39,"tensor(0.0170, device='cuda:0')","tensor(0.0268, device='cuda:0')"
40,"tensor(0.0162, device='cuda:0')","tensor(0.0277, device='cuda:0')"
41,"tensor(0.0166, device='cuda:0')","tensor(0.0282, device='cuda:0')"
42,"tensor(0.0159, device='cuda:0')","tensor(0.0258, device='cuda:0')"
43,"tensor(0.0167, device='cuda:0')","tensor(0.0281, device='cuda:0')"
44,"tensor(0.0172, device='cuda:0')","tensor(0.0264, device='cuda:0')"
45,"tensor(0.0163, device='cuda:0')","tensor(0.0209, device='cuda:0')"
46,"tensor(0.0153, device='cuda:0')","tensor(0.0251, device='cuda:0')"
47,"tensor(0.0142, device='cuda:0')","tensor(0.0263, device='cuda:0')"
48,"tensor(0.0178, device='cuda:0')","tensor(0.0268, device='cuda:0')"
49,"tensor(0.0153, device='cuda:0')","tensor(0.0261, device='cuda:0')"
50,"tensor(0.0158, device='cuda:0')","tensor(0.0241, device='cuda:0')"
51,"tensor(0.0171, device='cuda:0')","tensor(0.0279, device='cuda:0')"
52,"tensor(0.0167, device='cuda:0')","tensor(0.0244, device='cuda:0')"
53,"tensor(0.0149, device='cuda:0')","tensor(0.0245, device='cuda:0')"
54,"tensor(0.0147, device='cuda:0')","tensor(0.0274, device='cuda:0')"
55,"tensor(0.0149, device='cuda:0')","tensor(0.0311, device='cuda:0')"
56,"tensor(0.0156, device='cuda:0')","tensor(0.0249, device='cuda:0')"
57,"tensor(0.0168, device='cuda:0')","tensor(0.0287, device='cuda:0')"
58,"tensor(0.0156, device='cuda:0')","tensor(0.0236, device='cuda:0')"
59,"tensor(0.0164, device='cuda:0')","tensor(0.0260, device='cuda:0')"
60,"tensor(0.0146, device='cuda:0')","tensor(0.0265, device='cuda:0')"
61,"tensor(0.0155, device='cuda:0')","tensor(0.0247, device='cuda:0')"
62,"tensor(0.0164, device='cuda:0')","tensor(0.0215, device='cuda:0')"
63,"tensor(0.0146, device='cuda:0')","tensor(0.0315, device='cuda:0')"
64,"tensor(0.0159, device='cuda:0')","tensor(0.0217, device='cuda:0')"
65,"tensor(0.0177, device='cuda:0')","tensor(0.0242, device='cuda:0')"
66,"tensor(0.0140, device='cuda:0')","tensor(0.0261, device='cuda:0')"
67,"tensor(0.0141, device='cuda:0')","tensor(0.0235, device='cuda:0')"
68,"tensor(0.0163, device='cuda:0')","tensor(0.0286, device='cuda:0')"
69,"tensor(0.0142, device='cuda:0')","tensor(0.0292, device='cuda:0')"
70,"tensor(0.0159, device='cuda:0')","tensor(0.0232, device='cuda:0')"
71,"tensor(0.0154, device='cuda:0')","tensor(0.0232, device='cuda:0')"
72,"tensor(0.0173, device='cuda:0')","tensor(0.0240, device='cuda:0')"
73,"tensor(0.0159, device='cuda:0')","tensor(0.0264, device='cuda:0')"
74,"tensor(0.0150, device='cuda:0')","tensor(0.0270, device='cuda:0')"
75,"tensor(0.0173, device='cuda:0')","tensor(0.0235, device='cuda:0')"
76,"tensor(0.0143, device='cuda:0')","tensor(0.0264, device='cuda:0')"
77,"tensor(0.0156, device='cuda:0')","tensor(0.0246, device='cuda:0')"
78,"tensor(0.0155, device='cuda:0')","tensor(0.0249, device='cuda:0')"
79,"tensor(0.0163, device='cuda:0')","tensor(0.0224, device='cuda:0')"
80,"tensor(0.0168, device='cuda:0')","tensor(0.0238, device='cuda:0')"
81,"tensor(0.0169, device='cuda:0')","tensor(0.0222, device='cuda:0')"
82,"tensor(0.0158, device='cuda:0')","tensor(0.0238, device='cuda:0')"
83,"tensor(0.0140, device='cuda:0')","tensor(0.0219, device='cuda:0')"
84,"tensor(0.0163, device='cuda:0')","tensor(0.0243, device='cuda:0')"
85,"tensor(0.0167, device='cuda:0')","tensor(0.0227, device='cuda:0')"
86,"tensor(0.0150, device='cuda:0')","tensor(0.0272, device='cuda:0')"
87,"tensor(0.0160, device='cuda:0')","tensor(0.0238, device='cuda:0')"
88,"tensor(0.0167, device='cuda:0')","tensor(0.0274, device='cuda:0')"
89,"tensor(0.0170, device='cuda:0')","tensor(0.0257, device='cuda:0')"
90,"tensor(0.0146, device='cuda:0')","tensor(0.0252, device='cuda:0')"
91,"tensor(0.0143, device='cuda:0')","tensor(0.0217, device='cuda:0')"
92,"tensor(0.0137, device='cuda:0')","tensor(0.0243, device='cuda:0')"
93,"tensor(0.0159, device='cuda:0')","tensor(0.0205, device='cuda:0')"
94,"tensor(0.0150, device='cuda:0')","tensor(0.0246, device='cuda:0')"
95,"tensor(0.0150, device='cuda:0')","tensor(0.0231, device='cuda:0')"
96,"tensor(0.0149, device='cuda:0')","tensor(0.0236, device='cuda:0')"
97,"tensor(0.0135, device='cuda:0')","tensor(0.0250, device='cuda:0')"
98,"tensor(0.0149, device='cuda:0')","tensor(0.0230, device='cuda:0')"
99,"tensor(0.0150, device='cuda:0')","tensor(0.0257, device='cuda:0')"
100,"tensor(0.0141, device='cuda:0')","tensor(0.0256, device='cuda:0')"
101,"tensor(0.0156, device='cuda:0')","tensor(0.0226, device='cuda:0')"
