Sample_ID,Plant_ID,Treated pots,dayTreatment,Dpi,Replicate,sol.sugar nmol/mg,aa µmol/mg,flav µg/mg,phe µg/mg,Chla μg/mg,Chlb μg/mg,Caro μg/mg,pisatin µg/mg,Salicylic acid
1.0,1.0,PC,0PC,0,1.0,1.4564471542418045,1.4663697702529803,-0.4306924762455182,0.27222209021064847,-1.0611793418113047,-1.7435389312422527,-1.705639658651267,-1.4388351712210412,0.9524213125820391
2.0,1.0,PC,2PC,2,1.0,1.3784288714274968,1.720720560310156,0.34391761460551207,0.38049431469960737,-0.9880014580830259,-1.6572431177894167,-1.7181138328764427,-1.1614911630091518,0.8741388079068289
3.0,1.0,PC,4PC,4,1.0,1.7402729554818106,1.481839312156262,0.6238528872627032,0.22300301760659114,-1.1614911630091518,-1.713938461465962,-1.791900002935674,-1.4138338690156238,1.0805442454085554
4.0,1.0,PC,6PC,6,1.0,1.7419838198854403,1.4464250923345703,0.48606004275298265,0.3597574389177942,-1.0397192907915356,-1.705639658651267,-1.7829313329529133,-1.504217930483893,1.0661739698925596
4.5,1.0,PC,6PC,8,1.0,1.7138467546886242,1.4241791220177258,0.47421734077704736,0.2981829161144258,-1.1010076147628176,-1.7097804513172983,-1.78516597075433,-1.5178235825396715,1.159861555306858
5.0,1.0,PC,10PC,10,1.0,1.684895017266848,1.4014269870325737,0.4622327066724248,0.23256674860066218,-1.166298864577255,-1.713938461465962,-1.7874056133478344,-1.5316169046720074,1.2455187562233174
5.5,1.0,PC,10PC,12,1.0,1.6722157818750527,1.2548721545217645,0.3886701394954084,0.23642603793873151,-1.1307921761203452,-1.7118572952621376,-1.78516597075433,-1.6892458488755904,1.1558525887301818
6.0,1.0,PC,14PC,14,1.0,1.6593737167066576,1.0830887760435504,0.3092633618909977,0.24027049040404647,-1.0965031026417131,-1.7097804513172983,-1.7829313329529133,-1.8764573909637368,1.0573473289934032
7.0,2.0,MC,0MC,0,1.0,1.7205862329541879,1.2609531462161772,0.05534815191003428,0.401814919256243,-0.9123106379119468,-1.756498075884758,-1.7097804513172983,-1.7015159414674048,1.2966824245817796
8.0,2.0,MC,2MC,2,1.0,2.0618829227817828,1.565091286221986,0.020662593922144534,0.42465603141885255,-1.1010076147628176,-1.7307455797823432,-1.7265172436728222,-1.2676513588375424,1.539660799460624
9.0,2.0,MC,4MC,4,1.0,2.1118910142624503,1.4001322490361123,0.017717083692387448,0.3815199558151581,-1.4046172139106998,-1.756498075884758,-1.7608553812537138,-1.5316169046720074,1.591115059643291
10.0,2.0,MC,6MC,6,1.0,1.9765022732149267,1.4990869497240635,0.5756458193508323,0.43733912826329835,-1.353935727434555,-1.7392562694502518,-1.7608553812537138,-1.4046172139106998,1.4566220864560182
10.5,2.0,MC,6MC,8,1.0,1.921726995241635,1.4276062537992211,0.5601185479135458,0.41081498000698113,-1.3352166783333086,-1.7392562694502518,-1.7652317558535127,-1.4215798411302794,1.399299031379242
11.0,2.0,MC,10MC,10,1.0,1.863776630170348,1.3506200030178817,0.5443463726315039,0.38356808761151306,-1.3168416030283143,-1.7392562694502518,-1.7696273673265506,-1.4388351712210412,1.3384891557645742
11.5,2.0,MC,10MC,12,1.0,1.8195656048386266,1.2990400700795783,0.5769113753096629,0.42293634053932605,-1.3452526048610942,-1.7349918706637943,-1.7652317558535127,-1.5526703138698397,1.3086182969644304
12.0,2.0,MC,14MC,14,1.0,1.7733091873195197,1.2446542651385721,0.6084492588242636,0.4608132600181989,-1.3744944544555915,-1.7307455797823432,-1.7608553812537138,-1.6811486386429713,1.2778276238181503
13.0,3.0,PI,0PI,0,1.0,1.6478826393873365,1.543035652000897,0.40432307206345586,0.5360366812557862,-1.0207912809060167,-1.7608553812537138,-1.7307455797823432,-1.348138609750229,1.2247824462595212
14.0,3.0,PI,2PI,2,1.0,1.8198697503441799,1.4233657097084271,0.9348923799762767,0.48744412601892106,-1.1010076147628176,-1.791900002935674,-1.7435389312422527,-1.0786852593249192,1.694041422492924
15.0,3.0,PI,4PI,4,1.0,2.0241279034998576,1.6552234424130572,1.246382500608695,0.8027494381901445,-1.353935727434555,-1.791900002935674,-1.705639658651267,-0.8684279116528542,1.8181653428217586
16.0,3.0,PI,6PI,6,1.0,2.127483236778637,1.6965214458086826,1.2208045404615993,0.8847308072440083,-1.2233155450174908,-1.713938461465962,-1.6811486386429713,-0.4157924871227765,1.865056369743526
16.5,3.0,PI,6PI,8,1.0,2.108478895667971,1.6899635926033203,1.327006154909577,0.8505300111582241,-1.3553902731455492,-1.7160239679569833,-1.6872153913252086,-0.4157924871227765,1.7785838968895553
17.0,3.0,PI,10PI,10,1.0,2.089106381392439,1.68336244991707,1.4230039806395527,0.815117972934968,-1.5076020284681335,-1.7181138328764427,-1.6933191742632263,-0.4157924871227765,1.6839200189306784
17.5,3.0,PI,10PI,12,1.0,2.0284323902688928,1.6353806594275286,1.5289793578824766,0.8082840435130061,-1.5281506966955212,-1.763041174473694,-1.6974091595147516,-0.43706376915635925,1.6401236359573068
18.0,3.0,PI,14PI,14,1.0,1.9638379143033098,1.5849800710757749,1.6247923252105179,0.8014030899558064,-1.5491304871647156,-1.8100823220188644,-1.7015159414674048,-0.45879737056562675,1.5943209245369245
19.0,4.0,MI,0MI,0,1.0,1.6876755000814092,1.6366963529145964,-0.8060159792623236,0.4608132600181989,-0.9104432237371511,-1.7478400131416434,-1.6933191742632263,-1.314044398407253,1.2541228101629835
20.0,4.0,MI,2MI,2,1.0,1.5524568793702156,1.8186526129008356,0.5298692608255839,0.5840527625178562,-1.1215328507075484,-1.6933191742632263,-1.7740423855356675,-0.7409523859152618,1.8140139327081761
21.0,4.0,MI,4MI,4,1.0,1.8692331944723324,1.9318377522304684,0.9137449053652871,0.6469155396520594,-1.2974235171712125,-1.7521596742861596,-1.7223067111364787,-0.6208972178473076,1.9588751249611813
22.0,4.0,MI,6MI,6,1.0,2.0093424193653067,1.815725424568495,0.9395968873299498,0.6732941055883686,-1.2946800312254618,-1.7435389312422527,-1.7223067111364787,-0.7504461281075128,1.9670978151869485
22.5,4.0,MI,6MI,8,1.0,1.9691429665330031,1.7188383333495163,0.8736689198881589,0.7718358673352608,-1.3894424158914649,-1.7456871597805423,-1.713938461465962,-0.8093829858102279,1.9596687128133214
23.0,4.0,MI,10MI,10,1.0,1.9272595885768262,1.611547098460497,0.8030857422121471,0.8615322747371077,-1.4941338114172669,-1.7478400131416434,-1.705639658651267,-0.8720121448806692,1.9521840055253583
23.5,4.0,MI,10MI,12,1.0,1.8171291048819698,1.5778779878039537,0.7671414311734113,0.8514915496938453,-1.4483741942678001,-1.7413953076990012,-1.7118572952621376,-0.9002343183669079,1.915224161789617
24.0,4.0,MI,14MI,14,1.0,1.693351434195351,1.543035652000897,0.7298568000796073,0.8413489850838376,-1.4046172139106998,-1.7349918706637943,-1.7181138328764427,-0.9292761720702434,1.8768456879815605
25.0,5.0,PC,0PC,0,2.0,1.1922793048802807,1.479619555417949,-0.24089317393741627,-0.08633324507641271,-0.9198153635660145,-1.7608553812537138,-1.7392562694502518,-1.4941338114172669,1.1527760273163854
26.0,5.0,PC,2PC,2,2.0,1.0481789609065237,1.7560851111260463,0.25608341140358615,0.1533664383407336,-1.0853298020435878,-1.6691244456761694,-1.7392562694502518,-1.116935141458919,1.0949620998161884
27.0,5.0,PC,4PC,4,2.0,1.4749934870291663,1.5140622711792395,0.4450649030500595,-0.030630700465406058,-1.0764801867666054,-1.6974091595147516,-1.8055056549914525,-1.4388351712210412,1.38088471473226
28.0,5.0,PC,6PC,6,2.0,1.4494246534719797,1.3835227415118054,0.34018527222958417,-0.22572700646600508,-1.1614911630091518,-1.7181138328764427,-1.8146800312674938,-1.5741765190908033,1.3744489552483015
28.5,5.0,PC,6PC,8,2.0,1.5260463266124735,1.4207402046014832,0.2892293028578816,-0.14532254355211682,-1.1146441897123631,-1.7097804513172983,-1.8123785342792145,-1.5633656029865877,1.3434962841876392
29.0,5.0,PC,10PC,10,2.0,1.5972126395114095,1.4566220864560182,0.23553675375384753,-0.07090459960334616,-1.0698939939137486,-1.7015159414674048,-1.8100823220188644,-1.5526703138698397,1.3115548592488593
29.5,5.0,PC,10PC,12,2.0,1.5027683461173988,1.3184069618342296,0.04176195794639037,-0.034896753086154586,-1.1249950584360193,-1.7160239679569833,-1.8055056549914525,-1.7499975112816646,1.3334568297861589
30.0,5.0,PC,14PC,14,2.0,1.398465118891722,1.1579769846666372,-0.19881122850310273,-0.00014053370761901718,-1.1833102104037916,-1.7307455797823432,-1.8009498384555918,-1.9960803535421277,1.35488936715858
31.0,6.0,MC,0MC,0,2.0,1.7153333418939458,1.524249674434612,0.022866046888579294,0.04032103550687838,-1.0291595305765333,-1.7652317558535127,-1.7265172436728222,-1.7740423855356675,1.3285978782858314
32.0,6.0,MC,2MC,2,2.0,1.9819993570154204,1.7902416110680552,0.019927029343190572,0.11061083058508414,-1.054692832581698,-1.7392562694502518,-1.7349918706637943,-1.2258698248225874,1.5927956039239235
33.0,6.0,MC,4MC,4,2.0,2.0708191929163076,1.4485433632060745,0.30539915614416824,0.268211772604495,-1.314044398407253,-1.7478400131416434,-1.7784769826035332,-1.514404775790886,1.6315700143356051
34.0,6.0,MC,6MC,6,2.0,1.870737215117972,1.5969086419410492,0.45416240414828923,0.1838063281887612,-1.2361526917781716,-1.7435389312422527,-1.7874056133478344,-1.3001745505431026,1.5361129808706884
34.5,6.0,MC,6MC,8,2.0,1.8146255161166347,1.5895848374625232,0.42539213745135473,0.08749627328551135,-1.2119013437330506,-1.7392562694502518,-1.7874056133478344,-1.3238690388357712,1.49286478216797
35.0,6.0,MC,10MC,10,2.0,1.7551771403781493,1.5822069988935392,0.39576956079461256,-0.019087671183731114,-1.1882242252062207,-1.7349918706637943,-1.7874056133478344,-1.348138609750229,1.4476612955825083
35.5,6.0,MC,10MC,12,2.0,1.6779097974700847,1.5134014418143686,0.48189626158120324,0.06629652191013902,-1.1993698514211368,-1.7349918706637943,-1.7896502832016583,-1.4278201109903639,1.4189254867456929
36.0,6.0,MC,14MC,14,2.0,1.5941684971301817,1.4395095580797839,0.5611897852950443,0.1449603105997217,-1.2106411041207628,-1.7349918706637943,-1.791900002935674,-1.514404775790886,1.3893394386511924
37.0,7.0,PI,0PI,0,2.0,1.5941684971301817,1.608396071770469,0.3092633618909977,0.1806783932018008,-1.126151796563843,-1.7392562694502518,-1.7435389312422527,-1.3715314893249346,1.38088471473226
38.0,7.0,PI,2PI,2,2.0,1.7490593211016399,1.5032693063015414,0.8224003619543092,0.34604414384919924,-1.1759841703117186,-1.7740423855356675,-1.756498075884758,-0.9407485732324803,1.7602253680430153
39.0,7.0,PI,4PI,4,2.0,1.9875692527974471,1.80775432343829,1.1219673331214453,0.5936341730391228,-1.4709922828555726,-1.8100823220188644,-1.7223067111364787,-0.7456879906610958,1.9223310423756765
40.0,7.0,PI,6PI,6,2.0,2.083421635642044,1.7967359513658594,1.1798995044066891,0.8253643028694113,-1.3337911613420876,-1.7435389312422527,-1.6933191742632263,-0.3508274358017287,1.903601620279899
40.5,7.0,PI,6PI,8,2.0,2.05580067419976,1.7956149448338183,1.2879208368113972,0.7927772436603626,-1.4644776018343788,-1.7223067111364787,-1.6974091595147516,-0.34976190559969034,1.8300958401231786
41.0,7.0,PI,10PI,10,2.0,2.027395071397937,1.7944926802357002,1.385402794707049,0.7590923938418443,-1.6148475588217313,-1.7015159414674048,-1.7015159414674048,-0.34869750954390355,1.750755231755321
41.5,7.0,PI,10PI,12,2.0,1.9606730208502694,1.7566683715683609,1.4585443238325282,0.7419040553781269,-1.6073287264077036,-1.7652317558535127,-1.705639658651267,-0.3816823868497763,1.7114093804284765
42.0,7.0,PI,14PI,14,2.0,1.8891788350587766,1.7173569513534725,1.5266988551837515,0.7244151033572925,-1.5998660052061142,-1.8332852190985283,-1.7097804513172983,-0.4157924871227765,1.6704518018798118
43.0,8.0,MI,0MI,0,2.0,1.6708754409456694,1.7871042551659095,-0.9720011167365847,-0.22103436528781328,-1.0742799658570028,-1.7435389312422527,-1.7265172436728222,-1.1495720707719415,1.3375044191020349
44.0,8.0,MI,2MI,2,2.0,1.4864338918376787,1.9738987830695307,0.66096729310771,0.34018527222958417,-1.2649882414180589,-1.6811486386429713,-1.7478400131416434,-0.6167160270869065,1.880630313176733
45.0,8.0,MI,4MI,4,2.0,1.806768858958439,2.057000895184474,1.0293179953708673,0.6210331472272372,-1.353935727434555,-1.7696273673265506,-1.7307455797823432,-0.556009595641433,2.0257133180213978
46.0,8.0,MI,6MI,6,2.0,1.9249626228417331,2.014362006252601,1.069785944923714,0.5944630168495237,-1.3568469376420134,-1.7181138328764427,-1.7307455797823432,-0.5865767595118663,2.026801834283446
46.5,8.0,MI,6MI,8,2.0,1.87655838944768,1.9189216357186738,0.9903546907585357,0.6738682133450231,-1.4891296308326911,-1.739256269450252,-1.7097804513172983,-0.6732201512167548,2.0141617058012558
47.0,8.0,MI,10MI,10,2.0,1.8256914769142134,1.8134019750365487,0.9040654589514641,0.7474294236819037,-1.641617799886336,-1.7608553812537138,-1.6892458488755904,-0.7680889273502625,2.0013597568574855
47.5,8.0,MI,10MI,12,2.0,1.7872927743482943,1.793181777710196,0.8893683174876683,0.7099420101982155,-1.6017264708590337,-1.739256269450252,-1.6912804375733779,-0.7770284423890712,1.9744200236338467
48.0,8.0,MI,14MI,14,2.0,1.7473605294484051,1.7725442714229689,0.8744519439670047,0.6709943728768373,-1.5633656029865877,-1.7181138328764427,-1.6933191742632263,-0.7860485937484549,1.9467344007577938
49.0,9.0,PC,0PC,0,3.0,1.398465118891722,1.4663697702529803,-0.5404248646247347,0.339116325040679,-0.8612977566682629,-1.7521596742861596,-1.6933191742632263,-1.4775496834017317,0.9191487011627926
50.0,9.0,PC,2PC,2,3.0,1.2911251395169132,1.7360490843656255,0.3560838582973824,0.24791533798648713,-1.1215328507075484,-1.6771244883432457,-1.713938461465962,-1.0853298020435878,0.8381074911596671
51.0,9.0,PC,4PC,4,3.0,1.640050837209413,1.462029862390962,0.7108642642523328,0.14040449406386069,-1.2284306456842613,-1.7223067111364787,-1.7829313329529133,-1.4580050873287613,1.1089274140648295
52.0,9.0,PC,6PC,6,3.0,1.653644683563431,1.376346129029252,0.3031843158146157,0.23731453199984687,-0.9819712890564345,-1.6974091595147516,-1.7696273673265506,-1.4388351712210412,1.100471755627158
52.5,9.0,PC,6PC,8,3.0,1.6138665039370905,1.4102603164603305,0.2502558890842401,0.19158362668406337,-1.0920187901943843,-1.6953620758930268,-1.7807016776256441,-1.4941338114172669,1.1703965936307732
53.0,9.0,PC,10PC,10,3.0,1.5724402365038253,1.4430619596841514,0.19436871281048385,0.14366076525763605,-1.2156916199068313,-1.6933191742632263,-1.791900002935674,-1.5526703138698397,1.2357498735866224
53.5,9.0,PC,10PC,12,3.0,1.4581951008501073,1.2711119637411685,-0.025612353705150248,0.186301650756163,-1.2169582445220244,-1.7097804513172983,-1.7896502832016583,-1.6691244456761694,1.1505217699697652
54.0,9.0,PC,14PC,14,3.0,1.3291941219684067,1.0633268086577212,-0.30804574227744297,0.22719840883669384,-1.2182264755100194,-1.7265172436728222,-1.7874056133478344,-1.8009498384555918,1.0573473289934032
55.0,10.0,MC,0MC,0,3.0,1.6987207594099618,1.5791167615764903,0.11797611329464441,-0.0167949686127562,-1.0698939939137486,-1.7521596742861596,-1.713938461465962,-1.581449278419883,1.3060798379681846
56.0,10.0,MC,2MC,2,3.0,2.0267029272065638,1.6349417099728254,-0.06688368546055479,0.11061083058508414,-1.1331204658799363,-1.7265172436728222,-1.7265172436728222,-1.1614911630091518,1.5470385394208743
57.0,10.0,MC,4MC,4,3.0,2.0934644948320815,1.4073245345352383,0.186301650756163,0.32944403039817116,-1.2596831891883657,-1.7435389312422527,-1.7696273673265506,-1.4580050873287613,1.5909621427533227
58.0,10.0,MC,6MC,6,3.0,1.8377122972249205,1.6423777725234765,0.5853077302625693,0.16996962944768867,-1.1931625068468033,-1.7349918706637943,-1.7652317558535127,-1.348138609750229,1.4644625308365202
58.5,10.0,MC,6MC,8,3.0,1.7872299385695816,1.5808175737375572,0.5052650225890325,0.25113218532842696,-1.2322842150002513,-1.732866471351481,-1.7718324398848644,-1.3196466539559228,1.4118164520665863
59.0,10.0,MC,10MC,10,3.0,1.734062986393996,1.5152176728097948,0.4182536455994028,0.3261990302548443,-1.2729989651641378,-1.7307455797823432,-1.7784769826035332,-1.291944051406587,1.3562439875882681
59.5,10.0,MC,10MC,12,3.0,1.6835018713184815,1.4379068509430186,0.48189626158120324,0.3704387961697204,-1.287854066155062,-1.7286291768759656,-1.7718324398848644,-1.3671034378092024,1.3269065880254405
